Year,Month,Precipitation (mm),Max Temperature (C),Min Temperature(C),Average Temperature (C),Specific Humidity 2m(kg kg-1),Relative Humidity 2m (%),Surface Pressure (K Pa),Dew Point (C),Min Wind Speed (m/s),Max Wind Speed (m/s),Cloud Coverage
2000,1,0.15,32.36,13.9,18.46,0.005236,28.38,94.34,2.72,1.99,4.99,0.69
2000,2,7.33,33.19,15.33,17.85,0.007144,36.69,94.16,6.87,1.39,4.85,0.68
2000,3,0.6,37.03,17.39,19.64,0.005216,22.29,94.1,2.5,1.31,4.93,0.7
2000,4,3.74,40.63,22.88,17.75,0.008812,28.46,93.86,10.22,2.36,6.02,0.67
2000,5,56.82,36.28,23.24,13.03,0.013369,51.01,93.82,16.92,3.04,7.13,0.57
2000,6,103.68,31.03,22.42,8.61,0.016509,73.3,93.56,20.77,3.7,7.76,0.4
2000,7,133.16,29.48,21.25,8.22,0.015837,76.44,93.59,20.14,5.38,9.38,0.37
2000,8,170.59,28.92,21.09,7.83,0.016022,78.57,93.67,20.34,4.33,8.11,0.36
2000,9,59.96,30.85,20.88,9.97,0.015814,73.83,93.92,20.15,2.36,5.61,0.48
2000,10,46.35,32.29,19.65,12.64,0.013405,61.8,94.05,17.1,1,3.33,0.55
2000,11,5.81,31.77,15.9,15.87,0.009461,49.84,94.28,11.79,1.83,4.19,0.63
2000,12,12.14,31.41,12.53,18.88,0.004447,26.46,94.42,0.07,2.2,5.18,0.67
2001,1,0.6,31.85,14.99,16.85,0.006637,35.76,94.28,5.7,1.32,4.07,0.66
2001,2,0,35.65,15.43,20.22,0.004363,20.56,94.2,-0.05,1.31,4.04,0.71
2001,3,0.17,36.76,18.46,18.3,0.007248,29.99,94.11,7.51,1.61,5.69,0.71
2001,4,14.73,38.33,23.48,14.86,0.009702,32.76,94,11.92,0.86,5,0.62
2001,5,20.62,38.33,23.05,15.28,0.012276,43.92,93.8,15.63,3.94,7.74,0.62
2001,6,85.68,31.53,22.33,9.19,0.015596,69.19,93.6,19.85,5.19,9.72,0.41
2001,7,96.21,30.54,21.67,8.87,0.015694,72.99,93.66,20.01,5.3,10.02,0.35
2001,8,98.79,29.33,21.32,8.01,0.01598,77.76,93.76,20.32,4.39,8.61,0.38
2001,9,139.55,31.01,21.19,9.82,0.015823,73.35,93.9,20.14,1.84,4.46,0.46
2001,10,84.43,29.86,18.95,10.91,0.014502,73.38,94.06,18.5,2.17,5.28,0.53
2001,11,7.08,30.44,15.73,14.71,0.010931,60.46,94.37,14.09,2.2,4.82,0.65
2001,12,0.1,30.14,13.27,16.87,0.007465,45.28,94.62,8.5,2.22,4.68,0.65
2002,1,2.38,30.91,13.02,17.89,0.006597,39.29,94.4,5.94,1.82,5.08,0.69
2002,2,0.22,34.26,17.66,16.6,0.006809,31.59,94.45,6.79,1.2,4.31,0.66
2002,3,0.62,37.74,19.72,18.02,0.00644,24.67,94.14,5.89,1.44,5.04,0.68
