Year,Month,avgtemp_past,avgtemp_pasttopast,avgtemp
2002,1,16.85,18.46,17.89
2002,2,20.22,17.85,16.6
2002,3,18.3,19.64,18.02
2002,4,14.86,17.75,16.72
2002,5,15.28,13.03,14.2
2002,6,9.19,8.61,8.55
2002,7,8.87,8.22,9.45
2002,8,8.01,7.83,8.2
2002,9,9.82,9.97,10.45
2002,10,10.91,12.64,13.24
2002,11,14.71,15.87,16.38
2002,12,16.87,18.88,17.38
2003,1,17.89,16.85,15.69
2003,2,16.6,20.22,17.35
2003,3,18.02,18.3,17.47
2003,4,16.72,14.86,15.99
2003,5,14.2,15.28,17.81
2003,6,8.55,9.19,10.44
2003,7,9.45,8.87,7.49
2003,8,8.2,8.01,8.29
2003,9,10.45,9.82,10.13
2003,10,13.24,10.91,13.21
2003,11,16.38,14.71,15.68
2003,12,17.38,16.87,17.14
2004,1,15.69,17.89,17.02
2004,2,17.35,16.6,18.37
2004,3,17.47,18.02,18.46
2004,4,15.99,16.72,17.66
2004,5,17.81,14.2,12.32
2004,6,10.44,8.55,8.53
2004,7,7.49,9.45,7.62
2004,8,8.29,8.2,7.86
2004,9,10.13,10.45,8.83
2004,10,13.21,13.24,11.86
2004,11,15.68,16.38,14.25
2004,12,17.14,17.38,18.25
2005,1,17.02,15.69,17.48
2005,2,18.37,17.35,18.25
2005,3,18.46,17.47,18.37
2005,4,17.66,15.99,14.51
2005,5,12.32,17.81,14.95
2005,6,8.53,10.44,9.27
2005,7,7.62,7.49,6.25
2005,8,7.86,8.29,7.16
2005,9,8.83,10.13,7.3
2005,10,11.86,13.21,10.76
2005,11,14.25,15.68,15.41
2005,12,18.25,17.14,16.37
2006,1,17.48,17.02,18.52
2006,2,18.25,18.37,19.51
2006,3,18.37,18.46,16.84
2006,4,14.51,17.66,17.04
2006,5,14.95,12.32,14.09
2006,6,9.27,8.53,9.1
2006,7,6.25,7.62,6.93
2006,8,7.16,7.86,6.83
2006,9,7.3,8.83,7.99
2006,10,10.76,11.86,10.92
2006,11,15.41,14.25,11.41
2006,12,16.37,18.25,16.11
2007,1,18.52,17.48,17.67
2007,2,19.51,18.25,17.03
2007,3,16.84,18.37,17.38
2007,4,17.04,14.51,16.13
2007,5,14.09,14.95,15.36
2007,6,9.1,9.27,8.75
2007,7,6.93,6.25,7.39
2007,8,6.83,7.16,7.32
2007,9,7.99,7.3,7.23
