Year,Month,d_past,d_pattopast,DewPoint
2002,1,5.7,2.72,5.94
2002,2,-0.05,6.87,6.79
2002,3,7.51,2.5,5.89
2002,4,11.92,10.22,9.09
2002,5,15.63,16.92,17.6
2002,6,19.85,20.77,20.64
2002,7,20.01,20.14,20.31
2002,8,20.32,20.34,20.25
2002,9,20.14,20.15,19.55
2002,10,18.5,17.1,16.71
2002,11,14.09,11.79,9.97
2002,12,8.5,0.07,5.41
2003,1,5.94,5.7,6.77
2003,2,6.79,-0.05,6.7
2003,3,5.89,7.51,5.9
2003,4,9.09,11.92,11.23
2003,5,17.6,15.63,13.05
2003,6,20.64,19.85,19.42
2003,7,20.31,20.01,21
2003,8,20.25,20.32,20.51
2003,9,19.55,20.14,19.96
2003,10,16.71,18.5,17.39
2003,11,9.97,14.09,11.49
2003,12,5.41,8.5,6.14
2004,1,6.77,5.94,6.29
2004,2,6.7,6.79,3.38
2004,3,5.9,5.89,3.6
2004,4,11.23,9.09,10.52
2004,5,13.05,17.6,18.45
2004,6,19.42,20.64,20.86
2004,7,21,20.31,20.67
2004,8,20.51,20.25,20.52
2004,9,19.96,19.55,20.62
2004,10,17.39,16.71,17.48
2004,11,11.49,9.97,13.63
2004,12,6.14,5.41,6.37
2005,1,6.29,6.77,5.47
2005,2,3.38,6.7,5.35
2005,3,3.6,5.9,6.26
2005,4,10.52,11.23,11.87
2005,5,18.45,13.05,14.97
2005,6,20.86,19.42,20.51
2005,7,20.67,21,21.52
2005,8,20.52,20.51,21.19
2005,9,20.62,19.96,21.35
2005,10,17.48,17.39,18.58
2005,11,13.63,11.49,12.7
2005,12,6.37,6.14,9.91
2006,1,5.47,6.29,6.2
2006,2,5.35,3.38,2.53
2006,3,6.26,3.6,8.58
2006,4,11.87,10.52,10.07
2006,5,14.97,18.45,15.38
2006,6,20.51,20.86,20.95
2006,7,21.52,20.67,20.88
2006,8,21.19,20.52,20.71
2006,9,21.35,20.62,21.28
2006,10,18.58,17.48,19.11
2006,11,12.7,13.63,16.85
2006,12,9.91,6.37,11.37
2007,1,6.2,5.47,8.14
2007,2,2.53,5.35,7.56
2007,3,8.58,6.26,6.15
2007,4,10.07,11.87,9.89
2007,5,15.38,14.97,15.61
2007,6,20.95,20.51,20.87
2007,7,20.88,21.52,21.41
2007,8,20.71,21.19,21.01
2007,9,21.28,21.35,21.13
2007,10,19.11,18.58,16.91
2007,11,16.85,12.7,12.86
2007,12,11.37,9.91,10.78
2008,1,8.14,6.2,4.07
2008,2,7.56,2.53,4.12
2008,3,6.15,8.58,8.98
2008,4,9.89,10.07,10.48
2008,5,15.61,15.38,14.82
2008,6,20.87,20.95,20.38
2008,7,21.41,20.88,20.28
2008,8,21.01,20.71,20.73
2008,9,21.13,21.28,20.5
2008,10,16.91,19.11,17.44
2008,11,12.86,16.85,14.73
2008,12,10.78,11.37,11.06
2009,1,4.07,8.14,7.19
2009,2,4.12,7.56,3.91
2009,3,8.98,6.15,6.09
2009,4,10.48,9.89,8.79
2009,5,14.82,15.61,14.77
2009,6,20.38,20.87,20.01
