Year,Month,maxtemp_past,maxtemp_pasttopast,MaxTemperature
2002,1,31.85,32.36,30.91
2002,2,35.65,33.19,34.26
2002,3,36.76,37.03,37.74
2002,4,38.33,40.63,40.22
2002,5,38.33,36.28,38.46
2002,6,31.53,31.03,31.69
2002,7,30.54,29.48,31.41
2002,8,29.33,28.92,29.43
2002,9,31.01,30.85,31.14
2002,10,29.86,32.29,32.66
2002,11,30.44,31.77,32.46
2002,12,30.14,31.41,32.05
2003,1,30.91,31.85,31.67
2003,2,34.26,35.65,34.93
2003,3,37.74,36.76,37.48
2003,4,40.22,38.33,39.25
2003,5,38.46,38.33,40.62
2003,6,31.69,31.53,33.49
2003,7,31.41,30.54,29.9
2003,8,29.43,29.33,29.93
2003,9,31.14,31.01,31.13
2003,10,32.66,29.86,32.76
2003,11,32.46,30.44,32.84
2003,12,32.05,30.14,31.38
2004,1,31.67,30.91,31.44
2004,2,34.93,34.26,34.24
2004,3,37.48,37.74,38.79
2004,4,39.25,40.22,39.94
2004,5,40.62,38.46,35.55
2004,6,33.49,31.69,30.92
2004,7,29.9,31.41,29.42
2004,8,29.93,29.43,29.05
2004,9,31.13,31.14,29.77
2004,10,32.76,32.66,30.26
2004,11,32.84,32.46,30.42
2004,12,31.38,32.05,30.79
2005,1,31.44,31.67,31.83
2005,2,34.24,34.93,34.69
2005,3,38.79,37.48,37.24
2005,4,39.94,39.25,36.92
2005,5,35.55,40.62,38.04
2005,6,30.92,33.49,32.84
2005,7,29.42,29.9,28.7
2005,8,29.05,29.93,28.53
2005,9,29.77,31.13,28.69
2005,10,30.26,32.76,29.41
2005,11,30.42,32.84,28.45
2005,12,30.79,31.38,28.59
2006,1,31.83,31.44,30.82
2006,2,34.69,34.24,34.94
2006,3,37.24,38.79,36.21
2006,4,36.92,39.94,39.36
2006,5,38.04,35.55,37.97
2006,6,32.84,30.92,31.5
2006,7,28.7,29.42,28.64
2006,8,28.53,29.05,27.85
2006,9,28.69,29.77,29.31
2006,10,29.41,30.26,30.24
2006,11,28.45,30.42,28.39
2006,12,28.59,30.79,28.98
2007,1,30.82,31.83,30.95
2007,2,34.94,34.69,33.15
2007,3,36.21,37.24,37.24
2007,4,39.36,36.92,39.66
2007,5,37.97,38.04,39.02
2007,6,31.5,32.84,32.51
2007,7,28.64,28.7,29.68
2007,8,27.85,28.53,29
2007,9,29.31,28.69,28.63
2007,10,30.24,29.41,30.38
2007,11,28.39,28.45,30.06
2007,12,28.98,28.59,30.04
2008,1,30.95,30.82,31.4
2008,2,33.15,34.94,33.2
2008,3,37.24,36.21,35.35
2008,4,39.66,39.36,38.93
2008,5,39.02,37.97,38.49
2008,6,32.51,31.5,31.01
2008,7,29.68,28.64,30.79
2008,8,29,27.85,29.13
2008,9,28.63,29.31,28.92
2008,10,30.38,30.24,30.12
2008,11,30.06,28.39,29.98
2008,12,30.04,28.98,29.92
2009,1,31.4,30.95,31.85
2009,2,33.2,33.15,35.45
2009,3,35.35,37.24,37.41
2009,4,38.93,39.66,39.85
2009,5,38.49,39.02,39.25
2009,6,31.01,32.51,33.49
2009,7,30.79,29.68,29.42
2009,8,29.13,29,30.31
2009,9,28.92,28.63,30.47
2009,10,30.12,30.38,29.63
2009,11,29.98,30.06,28.78
2009,12,29.92,30.04,28.7
2010,1,31.85,31.4,29.51
2010,2,35.45,33.2,34.4
2010,3,37.41,35.35,38.38
2010,4,39.85,38.93,39.54
2010,5,39.25,38.49,40.35
2010,6,33.49,31.01,32.07
2010,7,29.42,30.79,29.35
2010,8,30.31,29.13,28.88
2010,9,30.47,28.92,29.14
2010,10,29.63,30.12,29.91
2010,11,28.78,29.98,29.31
