Year,Month,maxws_past,maxws_pasttopast,MaxWindSpeed
2002,1,4.07,4.99,5.08
2002,2,4.04,4.85,4.31
2002,3,5.69,4.93,5.04
2002,4,5,6.02,5.22
2002,5,7.74,7.13,7.42
2002,6,9.72,7.76,8.02
2002,7,10.02,9.38,9.52
2002,8,8.61,8.11,8.96
2002,9,4.46,5.61,5.59
2002,10,5.28,3.33,4.84
2002,11,4.82,4.19,4.55
2002,12,4.68,5.18,4.14
2003,1,5.08,4.07,4.72
2003,2,4.31,4.04,4.29
2003,3,5.04,5.69,4.65
2003,4,5.22,5,5.01
2003,5,7.42,7.74,7.63
2003,6,8.02,9.72,8.7
2003,7,9.52,10.02,8.81
2003,8,8.96,8.61,8.52
2003,9,5.59,4.46,6.93
2003,10,4.84,5.28,4.28
2003,11,4.55,4.82,4.81
2003,12,4.14,4.68,4.77
2004,1,4.72,5.08,4.82
2004,2,4.29,4.31,4.38
2004,3,4.65,5.04,4.74
2004,4,5.01,5.22,5.58
2004,5,7.63,7.42,6.62
2004,6,8.7,8.02,8.79
2004,7,8.81,9.52,7.81
2004,8,8.52,8.96,10.26
2004,9,6.93,5.59,4.95
2004,10,4.28,4.84,4.52
2004,11,4.81,4.55,4.96
2004,12,4.77,4.14,4.7
2005,1,4.82,4.72,4.31
2005,2,4.38,4.29,4.81
2005,3,4.74,4.65,5.17
2005,4,5.58,5.01,4.86
2005,5,6.62,7.63,6.57
2005,6,8.79,8.7,8.54
2005,7,7.81,8.81,9.05
2005,8,10.26,8.52,8.4
2005,9,4.95,6.93,6.64
2005,10,4.52,4.28,4.52
2005,11,4.96,4.81,5.14
2005,12,4.7,4.77,4.22
2006,1,4.31,4.82,4.73
2006,2,4.81,4.38,4.61
2006,3,5.17,4.74,5.13
2006,4,4.86,5.58,5.61
2006,5,6.57,6.62,6.68
2006,6,8.54,8.79,6.96
2006,7,9.05,7.81,11.15
2006,8,8.4,10.26,9.79
2006,9,6.64,4.95,4.71
2006,10,4.52,4.52,4.69
2006,11,5.14,4.96,4.44
2006,12,4.22,4.7,4.74
2007,1,4.73,4.31,4.19
2007,2,4.61,4.81,4.96
2007,3,5.13,5.17,5.21
2007,4,5.61,4.86,4.46
2007,5,6.68,6.57,7.16
2007,6,6.96,8.54,7.96
2007,7,11.15,9.05,8.86
2007,8,9.79,8.4,8.6
2007,9,4.71,6.64,6.17
2007,10,4.69,4.52,4.25
2007,11,4.44,5.14,4.94
2007,12,4.74,4.22,4.65
2008,1,4.19,4.73,4.65
2008,2,4.96,4.61,4.47
2008,3,5.21,5.13,4.3
2008,4,4.46,5.61,5.09
