Year,Month,MinPast,Minpasttopast,MinTemperature
2002,1,14.99,13.9,13.02
2002,2,15.43,15.33,17.66
2002,3,18.46,17.39,19.72
2002,4,23.48,22.88,23.49
2002,5,23.05,23.24,24.26
2002,6,22.33,22.42,23.13
2002,7,21.67,21.25,21.96
2002,8,21.32,21.09,21.23
2002,9,21.19,20.88,20.69
2002,10,18.95,19.65,19.43
2002,11,15.73,15.9,16.08
2002,12,13.27,12.53,14.67
2003,1,13.02,14.99,15.98
2003,2,17.66,15.43,17.58
2003,3,19.72,18.46,20.01
2003,4,23.49,23.48,23.26
2003,5,24.26,23.05,22.81
2003,6,23.13,22.33,23.05
2003,7,21.96,21.67,22.4
2003,8,21.23,21.32,21.64
2003,9,20.69,21.19,20.99
2003,10,19.43,18.95,19.55
2003,11,16.08,15.73,17.16
2003,12,14.67,13.27,14.24
2004,1,15.98,13.02,14.43
2004,2,17.58,17.66,15.86
2004,3,20.01,19.72,20.33
2004,4,23.26,23.49,22.28
2004,5,22.81,24.26,23.22
2004,6,23.05,23.13,22.39
2004,7,22.4,21.96,21.8
2004,8,21.64,21.23,21.18
2004,9,20.99,20.69,20.94
2004,10,19.55,19.43,18.4
2004,11,17.16,16.08,16.17
2004,12,14.24,14.67,12.54
2005,1,14.43,15.98,14.35
2005,2,15.86,17.58,16.45
2005,3,20.33,20.01,18.88
2005,4,22.28,23.26,22.41
2005,5,23.22,22.81,23.09
2005,6,22.39,23.05,23.57
2005,7,21.8,22.4,22.45
2005,8,21.18,21.64,21.37
2005,9,20.94,20.99,21.39
2005,10,18.4,19.55,18.65
2005,11,16.17,17.16,13.04
2005,12,12.54,14.24,12.21
2006,1,14.35,14.43,12.3
2006,2,16.45,15.86,15.42
2006,3,18.88,20.33,19.37
2006,4,22.41,22.28,22.32
2006,5,23.09,23.22,23.88
2006,6,23.57,22.39,22.4
2006,7,22.45,21.8,21.7
2006,8,21.37,21.18,21.03
2006,9,21.39,20.94,21.33
2006,10,18.65,18.4,19.32
2006,11,13.04,16.17,16.98
2006,12,12.21,12.54,12.87
2007,1,12.3,14.35,13.28
2007,2,15.42,16.45,16.13
2007,3,19.37,18.88,19.86
2007,4,22.32,22.41,23.53
2007,5,23.88,23.09,23.66
2007,6,22.4,23.57,23.76
2007,7,21.7,22.45,22.29
2007,8,21.03,21.37,21.69
2007,9,21.33,21.39,21.4
2007,10,19.32,18.65,17.81
2007,11,16.98,13.04,14.9
2007,12,12.87,12.21,14.74
2008,1,13.28,12.3,12.95
2008,2,16.13,15.42,15.25
2008,3,19.86,19.37,20.3
2008,4,23.53,22.32,22.35
2008,5,23.66,23.88,22.42
2008,6,23.76,22.4,22.8
2008,7,22.29,21.7,22.33
2008,8,21.69,21.03,21.48
2008,9,21.4,21.33,20.6
2008,10,17.81,19.32,18.19
2008,11,14.9,16.98,16.34
2008,12,14.74,12.87,14.56
2009,1,12.95,13.28,14.68
2009,2,15.25,16.13,16.89
2009,3,20.3,19.86,20.35
2009,4,22.35,23.53,23.2
2009,5,22.42,23.66,23.62
2009,6,22.8,23.76,22.9
2009,7,22.33,22.29,22.28
2009,8,21.48,21.69,21.75
2009,9,20.6,21.4,21.53
2009,10,18.19,17.81,19.12
2009,11,16.34,14.9,16.77
2009,12,14.56,14.74,14.38
2010,1,14.68,12.95,14.06
2010,2,16.89,15.25,17.32
2010,3,20.35,20.3,21.57
2010,4,23.2,22.35,23.79
2010,5,23.62,22.42,24.97
2010,6,22.9,22.8,23.2
2010,7,22.28,22.33,22.14
2010,8,21.75,21.48,21.66
2010,9,21.53,20.6,21.37
2010,10,19.12,18.19,19.74
2010,11,16.77,16.34,19.43
2010,12,14.38,14.56,13.15
2011,1,14.06,14.68,12.3
2011,2,17.32,16.89,15.68
2011,3,21.57,20.35,19.78
2011,4,23.79,23.2,22.47
2011,5,24.97,23.62,23.48
2011,6,23.2,22.9,22.75
2011,7,22.14,22.28,22
2011,8,21.66,21.75,21.58
2011,9,21.37,21.53,20.7
2011,10,19.74,19.12,19.91
2011,11,19.43,16.77,15.57
2011,12,13.15,14.38,13.5
2012,1,12.3,14.06,13.47
2012,2,15.68,17.32,16.44
2012,3,19.78,21.57,17.62
2012,4,22.47,23.79,23.42
2012,5,23.48,24.97,22.93
2012,6,22.75,23.2,22.9
2012,7,22,22.14,22.19
2012,8,21.58,21.66,21.78
2012,9,20.7,21.37,21.06
2012,10,19.91,19.74,19.34
2012,11,15.57,19.43,17.09
2012,12,13.5,13.15,15.41
2013,1,13.47,12.3,15.25
2013,2,16.44,15.68,18.04
2013,3,17.62,19.78,20.41
2013,4,23.42,22.47,21.88
2013,5,22.93,23.48,24.21
2013,6,22.9,22.75,22.73
2013,7,22.19,22,22.01
2013,8,21.78,21.58,21.06
2013,9,21.06,20.7,21.17
2013,10,19.34,19.91,20.11
2013,11,17.09,15.57,16.17
2013,12,15.41,13.5,12.86
2014,1,15.25,13.47,15.42
2014,2,18.04,16.44,15.79
2014,3,20.41,17.62,19.48
2014,4,21.88,23.42,23.55
2014,5,24.21,22.93,24.62
2014,6,22.73,22.9,23.96
2014,7,22.01,22.19,22.72
2014,8,21.06,21.78,21.76
2014,9,21.17,21.06,20.72
2014,10,20.11,19.34,19.24
2014,11,16.17,17.09,15.87
