Year,Month,minws_past,minws_pasttopast,MinWindSpeed
2002,1,1.32,1.99,1.82
2002,2,1.31,1.39,1.2
2002,3,1.61,1.31,1.44
2002,4,0.86,2.36,1.33
2002,5,3.94,3.04,3.5
2002,6,5.19,3.7,3.88
2002,7,5.3,5.38,5.17
2002,8,4.39,4.33,4.84
2002,9,1.84,2.36,2.72
2002,10,2.17,1,1.7
2002,11,2.2,1.83,1.86
2002,12,2.22,2.2,1.41
2003,1,1.82,1.32,1.61
2003,2,1.2,1.31,1.03
2003,3,1.44,1.61,1.18
2003,4,1.33,0.86,1.17
2003,5,3.5,3.94,3.72
2003,6,3.88,5.19,4.52
2003,7,5.17,5.3,4.68
2003,8,4.84,4.39,4
2003,9,2.72,1.84,2.92
2003,10,1.7,2.17,1.61
2003,11,1.86,2.2,2.05
2003,12,1.41,2.22,2.02
2004,1,1.61,1.82,1.43
2004,2,1.03,1.2,1.39
2004,3,1.18,1.44,1.27
2004,4,1.17,1.33,1.86
2004,5,3.72,3.5,3.01
2004,6,4.52,3.88,4.28
2004,7,4.68,5.17,3.82
2004,8,4,4.84,5.62
2004,9,2.92,2.72,2.14
2004,10,1.61,1.7,2.2
2004,11,2.05,1.86,2.23
2004,12,2.02,1.41,2.17
2005,1,1.43,1.61,1.29
2005,2,1.39,1.03,1.41
2005,3,1.27,1.18,1.54
2005,4,1.86,1.17,1.42
2005,5,3.01,3.72,2.88
2005,6,4.28,4.52,4.12
2005,7,3.82,4.68,4.95
2005,8,5.62,4,4.36
2005,9,2.14,2.92,3.08
2005,10,2.2,1.61,1.8
2005,11,2.23,2.05,2.16
2005,12,2.17,2.02,1.78
2006,1,1.29,1.43,2.05
2006,2,1.41,1.39,1.63
2006,3,1.54,1.27,1.13
2006,4,1.42,1.86,1.58
2006,5,2.88,3.01,2.81
2006,6,4.12,4.28,3.33
2006,7,4.95,3.82,5.6
2006,8,4.36,5.62,4.96
2006,9,3.08,2.14,1.97
2006,10,1.8,2.2,1.96
2006,11,2.16,2.23,1.83
2006,12,1.78,2.17,1.97
2007,1,2.05,1.29,1.56
2007,2,1.63,1.41,1.39
2007,3,1.13,1.54,1.16
2007,4,1.58,1.42,1.17
2007,5,2.81,2.88,3.11
2007,6,3.33,4.12,3.53
2007,7,5.6,4.95,4.72
2007,8,4.96,4.36,4.16
2007,9,1.97,3.08,2.78
2007,10,1.96,1.8,1.94
2007,11,1.83,2.16,2.09
2007,12,1.97,1.78,1.72
2008,1,1.56,2.05,1.68
2008,2,1.39,1.63,1.34
2008,3,1.16,1.13,1.03
2008,4,1.17,1.58,1.43
2008,5,3.11,2.81,3.9
2008,6,3.53,3.33,4.34
2008,7,4.72,5.6,4.63
2008,8,4.16,4.96,3.88
2008,9,2.78,1.97,2.55
2008,10,1.94,1.96,1.85
2008,11,2.09,1.83,2.12
2008,12,1.72,1.97,1.87
2009,1,1.68,1.56,1.9
2009,2,1.34,1.39,1
2009,3,1.03,1.16,0.88
2009,4,1.43,1.17,1.36
2009,5,3.9,3.11,2.77
2009,6,4.34,3.53,4.17
2009,7,4.63,4.72,6.49
2009,8,3.88,4.16,3.5
2009,9,2.55,2.78,2.42
2009,10,1.85,1.94,2.23
2009,11,2.12,2.09,2.09
2009,12,1.87,1.72,1.51
2010,1,1.9,1.68,1.56
2010,2,1,1.34,1.19
2010,3,0.88,1.03,1.4
2010,4,1.36,1.43,1.43
2010,5,2.77,3.9,3.12
2010,6,4.17,4.34,3.61
2010,7,6.49,4.63,4.5
2010,8,3.5,3.88,3.85
2010,9,2.42,2.55,2.5
2010,10,2.23,1.85,1.91
2010,11,2.09,2.12,1.69
2010,12,1.51,1.87,1.82
2011,1,1.56,1.9,1.66
2011,2,1.19,1,1.17
2011,3,1.4,0.88,1.3
2011,4,1.43,1.36,1.14
2011,5,3.12,2.77,2.79
2011,6,3.61,4.17,4.82
2011,7,4.5,6.49,4.62
2011,8,3.85,3.5,4.45
2011,9,2.5,2.42,3.09
2011,10,1.91,2.23,1.64
2011,11,1.69,2.09,2.48
2011,12,1.82,1.51,2.03
2012,1,1.66,1.56,1.08
2012,2,1.17,1.19,1.34
2012,3,1.3,1.4,1.62
2012,4,1.14,1.43,1.15
2012,5,2.79,3.12,3.49
2012,6,4.82,3.61,4.94
2012,7,4.62,4.5,5.03
2012,8,4.45,3.85,4.69
2012,9,3.09,2.5,3.26
2012,10,1.64,1.91,1.81
2012,11,2.48,1.69,1.12
2012,12,2.03,1.82,1.68
2013,1,1.08,1.66,1.11
2013,2,1.34,1.17,1.39
2013,3,1.62,1.3,1.56
2013,4,1.15,1.14,1.72
2013,5,3.49,2.79,3.54
2013,6,4.94,4.82,4.32
2013,7,5.03,4.62,5.87
2013,8,4.69,4.45,4.09
2013,9,3.26,3.09,2.47
2013,10,1.81,1.64,2.2
2013,11,1.12,2.48,1.86
2013,12,1.68,2.03,1.72
2014,1,1.11,1.08,1.43
2014,2,1.39,1.34,1.58
2014,3,1.56,1.62,1.17
2014,4,1.72,1.15,0.92
2014,5,3.54,3.49,1.76
2014,6,4.32,4.94,4.65
2014,7,5.87,5.03,5.62
2014,8,4.09,4.69,3.38
2014,9,2.47,3.26,3.1
2014,10,2.2,1.81,1.76
2014,11,1.86,1.12,2.1
2014,12,1.72,1.68,2.08
2015,1,1.43,1.11,1.42
2015,2,1.58,1.39,1.39
2015,3,1.17,1.56,1.21
2015,4,0.92,1.72,1.42
2015,5,1.76,3.54,2.5
2015,6,4.65,4.32,4.58
2015,7,5.62,5.87,5.31
2015,8,3.38,4.09,3.49
2015,9,3.1,2.47,2.17
2015,10,1.76,2.2,1.34
2015,11,2.1,1.86,1.93
2015,12,2.08,1.72,1.62
2016,1,1.42,1.43,1.33
2016,2,1.39,1.58,1.03
2016,3,1.21,1.17,1.26
2016,4,1.42,0.92,1.57
2016,5,2.5,1.76,3.33
2016,6,4.58,4.65,3.77
2016,7,5.31,5.62,4.17
2016,8,3.49,3.38,4.12
2016,9,2.17,3.1,2.98
2016,10,1.34,1.76,1.9
2016,11,1.93,2.1,2.1
2016,12,1.62,2.08,2.09
2017,1,1.33,1.42,1.56
2017,2,1.03,1.39,1.69
2017,3,1.26,1.21,1.17
2017,4,1.57,1.42,1.84
2017,5,3.33,2.5,2.53
2017,6,3.77,4.58,3.86
2017,7,4.17,5.31,5.18
2017,8,4.12,3.49,3.4
2017,9,2.98,2.17,1.78
2017,10,1.9,1.34,1.43
2017,11,2.1,1.93,1.69
2017,12,2.09,1.62,1.8
2018,1,1.56,1.33,1.3
2018,2,1.69,1.03,1.32
2018,3,1.17,1.26,1.15
2018,4,1.84,1.57,1.23
2018,5,2.53,3.33,2.1
2018,6,3.86,3.77,3.59
2018,7,5.18,4.17,5.23
2018,8,3.4,4.12,5.15
2018,9,1.78,2.98,2.01
2018,10,1.43,1.9,1.17
2018,11,1.69,2.1,1.56
2018,12,1.8,2.09,1.58
2019,1,1.3,1.56,1.56
2019,2,1.32,1.69,1.69
2019,3,1.15,1.17,1.17
2019,4,1.23,1.84,1.84
2019,5,2.1,2.53,2.53
2019,6,3.59,3.86,3.86
2019,7,5.23,5.18,5.18
2019,8,5.15,3.4,3.4
2019,9,2.01,1.78,1.78
2019,10,1.17,1.43,1.43
2019,11,1.56,1.69,1.69
2019,12,1.58,1.8,1.8
