Year,Month,Precipitation_past,Precipitation_pasttopast,Precipitation
2002,1,0.6,0.15,2.38
2002,2,0,7.33,0.22
2002,3,0.17,0.6,0.62
2002,4,14.73,3.74,4.28
2002,5,20.62,56.82,36.25
2002,6,85.68,103.68,145.58
2002,7,96.21,133.16,59.44
2002,8,98.79,170.59,130.6
2002,9,139.55,59.96,55.79
2002,10,84.43,46.35,61.22
2002,11,7.08,5.81,3.76
2002,12,0.1,12.14,0.18
2003,1,2.38,0.6,0.07
2003,2,0.22,0,3.31
2003,3,0.62,0.17,9.53
2003,4,4.28,14.73,19.34
2003,5,36.25,20.62,0.97
2003,6,145.58,85.68,105.24
2003,7,59.44,96.21,83.32
2003,8,130.6,98.79,96.6
2003,9,55.79,139.55,47.35
2003,10,61.22,84.43,34.85
2003,11,3.76,7.08,1.36
2003,12,0.18,0.1,0.91
2004,1,0.07,2.38,0.71
2004,2,3.31,0.22,1.85
2004,3,9.53,0.62,0.28
2004,4,19.34,4.28,7.73
2004,5,0.97,36.25,76.47
2004,6,105.24,145.58,156.77
2004,7,83.32,59.44,130.29
2004,8,96.6,130.6,152.41
2004,9,47.35,55.79,142.4
2004,10,34.85,61.22,14.33
2004,11,1.36,3.76,7.44
2004,12,0.91,0.18,0
2005,1,0.71,0.07,2.97
2005,2,1.85,3.31,0.02
2005,3,0.28,9.53,4.3
2005,4,7.73,19.34,22.57
2005,5,76.47,0.97,35.89
2005,6,156.77,105.24,149.39
2005,7,130.29,83.32,257.54
2005,8,152.41,96.6,180.58
2005,9,142.4,47.35,178.21
2005,10,14.33,34.85,73.15
2005,11,7.44,1.36,0.17
2005,12,0,0.91,0
2006,1,2.97,0.71,0
2006,2,0.02,1.85,0
2006,3,4.3,0.28,8.06
2006,4,22.57,7.73,3.69
2006,5,35.89,76.47,115.09
2006,6,149.39,156.77,152.08
2006,7,257.54,130.29,198.45
2006,8,180.58,152.41,189.42
2006,9,178.21,142.4,167.75
2006,10,73.15,14.33,42.27
2006,11,0.17,7.44,56.65
2006,12,0,0,0.05
2007,1,0,2.97,0
2007,2,0,0.02,0
2007,3,8.06,4.3,0.02
2007,4,3.69,22.57,4.62
2007,5,115.09,35.89,14.22
2007,6,152.08,149.39,203.28
2007,7,198.45,257.54,148.53
2007,8,189.42,180.58,169.31
2007,9,167.75,178.21,161.2
2007,10,42.27,73.15,6.36
2007,11,56.65,0.17,7.48
2007,12,0.05,0,0.01
2008,1,0,0,0
2008,2,0,0,0.7
2008,3,0.02,8.06,28.75
2008,4,4.62,3.69,5.96
2008,5,14.22,115.09,20.71
2008,6,203.28,152.08,79.2
2008,7,148.53,198.45,96.25
2008,8,169.31,189.42,172.86
2008,9,161.2,167.75,186.02
2008,10,6.36,42.27,30.4
2008,11,7.48,56.65,16.75
2008,12,0.01,0.05,7.72
2009,1,0,0,0
2009,2,0.7,0,0
2009,3,28.75,0.02,4.31
2009,4,5.96,4.62,3.69
2009,5,20.71,14.22,19.58
2009,6,79.2,203.28,84.92
2009,7,96.25,148.53,174.21
2009,8,172.86,169.31,132.45
2009,9,186.02,161.2,148.02
2009,10,30.4,6.36,89.7
2009,11,16.75,7.48,74.2
2009,12,7.72,0.01,0.67
2010,1,0,0,12.11
2010,2,0,0.7,0.62
2010,3,4.31,28.75,5.48
2010,4,3.69,5.96,3.19
2010,5,19.58,20.71,7.59
2010,6,84.92,79.2,151.71
2010,7,174.21,96.25,220.38
2010,8,132.45,172.86,162.52
