Year,Month,SH_past,SH_pasttopast,SpecificHumidity
2002,1,0.006637,0.005236,0.006597
2002,2,0.004363,0.007144,0.006809
2002,3,0.007248,0.005216,0.00644
2002,4,0.009702,0.008812,0.008083
2002,5,0.012276,0.013369,0.013759
2002,6,0.015596,0.016509,0.016382
2002,7,0.015694,0.015837,0.015961
2002,8,0.01598,0.016022,0.015909
2002,9,0.015823,0.015814,0.01523
2002,10,0.014502,0.013405,0.013
2002,11,0.010931,0.009461,0.008541
2002,12,0.007465,0.004447,0.006089
2003,1,0.006597,0.006637,0.006845
2003,2,0.006809,0.004363,0.006682
2003,3,0.00644,0.007248,0.006596
2003,4,0.008083,0.009702,0.009156
2003,5,0.013759,0.012276,0.010603
2003,6,0.016382,0.015596,0.015343
2003,7,0.015961,0.015694,0.01669
2003,8,0.015909,0.01598,0.016167
2003,9,0.01523,0.015823,0.015614
2003,10,0.013,0.014502,0.013515
2003,11,0.008541,0.010931,0.009321
2003,12,0.006089,0.007465,0.006508
2004,1,0.006845,0.006597,0.006655
2004,2,0.006682,0.006809,0.005512
2004,3,0.006596,0.00644,0.005611
2004,4,0.009156,0.008083,0.008834
2004,5,0.010603,0.013759,0.014483
2004,6,0.015343,0.016382,0.016543
2004,7,0.01669,0.015961,0.016345
2004,8,0.016167,0.015909,0.016171
2004,9,0.015614,0.01523,0.016268
2004,10,0.013515,0.013,0.013558
2004,11,0.009321,0.008541,0.010776
2004,12,0.006508,0.006089,0.006494
2005,1,0.006655,0.006845,0.006352
2005,2,0.005512,0.006682,0.00626
2005,3,0.005611,0.006596,0.006702
2005,4,0.008834,0.009156,0.009877
2005,5,0.014483,0.010603,0.011831
2005,6,0.016543,0.015343,0.016309
2005,7,0.016345,0.01669,0.017228
2005,8,0.016171,0.016167,0.016848
2005,9,0.016268,0.015614,0.017044
2005,10,0.013558,0.013515,0.014427
2005,11,0.010776,0.009321,0.009849
2005,12,0.006494,0.006508,0.008365
2006,1,0.006352,0.006655,0.006647
2006,2,0.00626,0.005512,0.005051
