Year,Month,sp_past,sp_pasttopast,surfacepressure
2002,1,94.28,94.34,94.4
2002,2,94.2,94.16,94.45
2002,3,94.11,94.1,94.14
2002,4,94,93.86,93.94
2002,5,93.8,93.82,93.82
2002,6,93.6,93.56,93.66
2002,7,93.66,93.59,93.84
2002,8,93.76,93.67,93.76
2002,9,93.9,93.92,94.05
2002,10,94.06,94.05,94.13
2002,11,94.37,94.28,94.34
2002,12,94.62,94.42,94.48
2003,1,94.4,94.28,94.51
2003,2,94.45,94.2,94.29
2003,3,94.14,94.11,94.17
2003,4,93.94,94,94
2003,5,93.82,93.8,93.86
2003,6,93.66,93.6,93.62
2003,7,93.84,93.66,93.65
2003,8,93.76,93.76,93.79
2003,9,94.05,93.9,93.93
2003,10,94.13,94.06,94.11
2003,11,94.34,94.37,94.4
2003,12,94.48,94.62,94.5
2004,1,94.51,94.4,94.36
2004,2,94.29,94.45,94.36
2004,3,94.17,94.14,94.15
2004,4,94,93.94,93.98
2004,5,93.86,93.82,93.77
2004,6,93.62,93.66,93.76
2004,7,93.65,93.84,93.68
2004,8,93.79,93.76,93.77
2004,9,93.93,94.05,93.98
2004,10,94.11,94.13,94.31
2004,11,94.4,94.34,94.45
2004,12,94.5,94.48,94.47
2005,1,94.36,94.51,94.35
2005,2,94.36,94.29,94.38
2005,3,94.15,94.17,94.23
2005,4,93.98,94,94.13
2005,5,93.77,93.86,93.88
2005,6,93.76,93.62,93.57
2005,7,93.68,93.65,93.66
2005,8,93.77,93.79,93.8
2005,9,93.98,93.93,93.79
2005,10,94.31,94.11,94.15
2005,11,94.45,94.4,94.4
2005,12,94.47,94.5,94.37
2006,1,94.35,94.36,94.46
2006,2,94.38,94.36,94.37
2006,3,94.23,94.15,94.12
2006,4,94.13,93.98,93.95
2006,5,93.88,93.77,93.8
2006,6,93.57,93.76,93.69
2006,7,93.66,93.68,93.65
2006,8,93.8,93.77,93.74
2006,9,93.79,93.98,93.9
2006,10,94.15,94.31,94.31
2006,11,94.4,94.45,94.37
2006,12,94.37,94.47,94.53
2007,1,94.46,94.35,94.54
2007,2,94.37,94.38,94.3
2007,3,94.12,94.23,94.16
2007,4,93.95,94.13,94.01
2007,5,93.8,93.88,93.84
2007,6,93.69,93.57,93.52
2007,7,93.65,93.66,93.59
2007,8,93.74,93.8,93.69
2007,9,93.9,93.79,93.72
2007,10,94.31,94.15,94.12
2007,11,94.37,94.4,94.35
2007,12,94.53,94.37,94.39
2008,1,94.54,94.46,94.34
2008,2,94.3,94.37,94.28
2008,3,94.16,94.12,94.06
2008,4,94.01,93.95,93.94
2008,5,93.84,93.8,93.87
2008,6,93.52,93.69,93.66
2008,7,93.59,93.65,93.62
2008,8,93.69,93.74,93.72
2008,9,93.72,93.9,93.86
2008,10,94.12,94.31,94.21
2008,11,94.35,94.37,94.29
2008,12,94.39,94.53,94.43
2009,1,94.34,94.54,94.45
2009,2,94.28,94.3,94.27
2009,3,94.06,94.16,94.14
2009,4,93.94,94.01,93.94
2009,5,93.87,93.84,93.77
2009,6,93.66,93.52,93.74
2009,7,93.62,93.59,93.57
2009,8,93.72,93.69,93.82
2009,9,93.86,93.72,93.92
2009,10,94.21,94.12,94.19
2009,11,94.29,94.35,94.28
2009,12,94.43,94.39,94.45
2010,1,94.45,94.34,94.53
2010,2,94.27,94.28,94.32
2010,3,94.14,94.06,94.23
2010,4,93.94,93.94,94.06
2010,5,93.77,93.87,93.75
2010,6,93.74,93.66,93.72
2010,7,93.57,93.62,93.65
2010,8,93.82,93.72,93.69
2010,9,93.92,93.86,93.87
2010,10,94.19,94.21,93.97
2010,11,94.28,94.29,94.17
2010,12,94.45,94.43,94.18
2011,1,94.53,94.45,94.32
2011,2,94.32,94.27,94.22
2011,3,94.23,94.14,94.12
2011,4,94.06,93.94,93.98
2011,5,93.75,93.77,93.89
2011,6,93.72,93.74,93.61
2011,7,93.65,93.57,93.6
2011,8,93.69,93.82,93.64
2011,9,93.87,93.92,93.85
2011,10,93.97,94.19,94.17
2011,11,94.17,94.28,94.32
2011,12,94.18,94.45,94.34
2012,1,94.32,94.53,94.32
2012,2,94.22,94.32,94.2
2012,3,94.12,94.23,94.16
2012,4,93.98,94.06,93.98
2012,5,93.89,93.75,93.85
2012,6,93.61,93.72,93.69
2012,7,93.6,93.65,93.6
2012,8,93.64,93.69,93.75
2012,9,93.85,93.87,93.9
2012,10,94.17,93.97,94.21
2012,11,94.32,94.17,94.25
2012,12,94.34,94.18,94.32
2013,1,94.32,94.32,94.41
2013,2,94.2,94.22,94.3
2013,3,94.16,94.12,94.19
2013,4,93.98,93.98,93.96
2013,5,93.85,93.89,93.79
2013,6,93.69,93.61,93.57
2013,7,93.6,93.6,93.54
2013,8,93.75,93.64,93.78
2013,9,93.9,93.85,93.86
2013,10,94.21,94.17,94.08
2013,11,94.25,94.32,94.36
2013,12,94.32,94.34,94.39
2014,1,94.41,94.32,94.48
2014,2,94.3,94.2,94.25
2014,3,94.19,94.16,94.28
2014,4,93.96,93.98,94.11
2014,5,93.79,93.85,93.91
2014,6,93.57,93.69,93.71
2014,7,93.54,93.6,93.7
2014,8,93.78,93.75,93.79
2014,9,93.86,93.9,93.98
2014,10,94.08,94.21,94.27
2014,11,94.36,94.25,94.41
2014,12,94.39,94.32,94.44
2015,1,94.48,94.41,94.5
2015,2,94.25,94.3,94.39
2015,3,94.28,94.19,94.34
2015,4,94.11,93.96,94.1
2015,5,93.91,93.79,93.95
2015,6,93.71,93.57,93.71
2015,7,93.7,93.54,93.8
2015,8,93.79,93.78,93.92
2015,9,93.98,93.86,94
2015,10,94.27,94.08,94.3
2015,11,94.41,94.36,94.34
2015,12,94.44,94.39,94.5
2016,1,94.5,94.48,94.51
2016,2,94.39,94.25,94.38
2016,3,94.34,94.28,94.27
2016,4,94.1,94.11,94
2016,5,93.95,93.91,93.86
2016,6,93.71,93.71,93.76
2016,7,93.8,93.7,93.72
2016,8,93.92,93.79,93.77
2016,9,94,93.98,93.94
2016,10,94.3,94.27,94.17
2016,11,94.34,94.41,94.42
2016,12,94.5,94.44,94.46
2017,1,94.51,94.5,94.47
2017,2,94.38,94.39,94.44
2017,3,94.27,94.34,94.16
2017,4,94,94.1,94.03
2017,5,93.86,93.95,93.89
2017,6,93.76,93.71,93.73
2017,7,93.72,93.8,93.75
2017,8,93.77,93.92,93.75
2017,9,93.94,94,93.94
2017,10,94.17,94.3,94.08
2017,11,94.42,94.34,94.31
2017,12,94.46,94.5,94.44
2018,1,94.47,94.51,94.35
2018,2,94.44,94.38,94.39
2018,3,94.16,94.27,94.18
2018,4,94.03,94,94
2018,5,93.89,93.86,93.83
2018,6,93.73,93.76,93.66
2018,7,93.75,93.72,93.64
2018,8,93.75,93.77,93.78
2018,9,93.94,93.94,94.07
2018,10,94.08,94.17,94.28
2018,11,94.31,94.42,94.41
2018,12,94.44,94.46,94.47
2019,1,94.35,94.47,94.47
2019,2,94.39,94.44,94.44
2019,3,94.18,94.16,94.16
2019,4,94,94.03,94.03
2019,5,93.83,93.89,93.89
2019,6,93.66,93.73,93.73
2019,7,93.64,93.75,93.75
2019,8,93.78,93.75,93.75
2019,9,94.07,93.94,93.94
2019,10,94.28,94.08,94.08
2019,11,94.41,94.31,94.31
2019,12,94.47,94.44,94.44
