-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/2000 through 12/31/2018 
Location: Latitude  17.9985   Longitude 74.5119 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 612.91 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
PS MERRA2 1/2x1/2 Surface Pressure (kPa) 
KT_CLEAR SRB/FLASHFlux 1/2x1/2 Clear Sky Insolation Clearness Index (dimensionless) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
WS10M_MIN MERRA2 1/2x1/2 Minimum Wind Speed at 10 Meters (m/s) 
T2MDEW MERRA2 1/2x1/2 Dew/Frost Point at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
WS10M_MAX MERRA2 1/2x1/2 Maximum Wind Speed at 10 Meters (m/s) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
17.99851,74.51191,PRECTOT,2000,    0.15,    7.33,    0.60,    3.74,   56.82,  103.68,  133.16,  170.59,   59.96,   46.35,    5.81,   12.14,  600.34
17.99851,74.51191,PRECTOT,2001,    0.60,    0.00,    0.17,   14.73,   20.62,   85.68,   96.21,   98.79,  139.55,   84.43,    7.08,    0.10,  547.98
17.99851,74.51191,PRECTOT,2002,    2.38,    0.22,    0.62,    4.28,   36.25,  145.58,   59.44,  130.60,   55.79,   61.22,    3.76,    0.18,  500.32
17.99851,74.51191,PRECTOT,2003,    0.07,    3.31,    9.53,   19.34,    0.97,  105.24,   83.32,   96.60,   47.35,   34.85,    1.36,    0.91,  402.86
17.99851,74.51191,PRECTOT,2004,    0.71,    1.85,    0.28,    7.73,   76.47,  156.77,  130.29,  152.41,  142.40,   14.33,    7.44,    0.00,  690.69
17.99851,74.51191,PRECTOT,2005,    2.97,    0.02,    4.30,   22.57,   35.89,  149.39,  257.54,  180.58,  178.21,   73.15,    0.17,    0.00,  904.80
17.99851,74.51191,PRECTOT,2006,    0.00,    0.00,    8.06,    3.69,  115.09,  152.08,  198.45,  189.42,  167.75,   42.27,   56.65,    0.05,  933.51
17.99851,74.51191,PRECTOT,2007,    0.00,    0.00,    0.02,    4.62,   14.22,  203.28,  148.53,  169.31,  161.20,    6.36,    7.48,    0.01,  715.04
17.99851,74.51191,PRECTOT,2008,    0.00,    0.70,   28.75,    5.96,   20.71,   79.20,   96.25,  172.86,  186.02,   30.40,   16.75,    7.72,  645.33
17.99851,74.51191,PRECTOT,2009,    0.00,    0.00,    4.31,    3.69,   19.58,   84.92,  174.21,  132.45,  148.02,   89.70,   74.20,    0.67,  731.75
17.99851,74.51191,PRECTOT,2010,   12.11,    0.62,    5.48,    3.19,    7.59,  151.71,  220.38,  162.52,   88.42,   99.32,   46.75,    1.07,  799.15
17.99851,74.51191,PRECTOT,2011,    0.00,    0.43,    0.19,   17.77,   16.10,   95.99,  193.54,  135.53,   98.75,  100.16,    0.70,    0.00,  659.16
17.99851,74.51191,PRECTOT,2012,    0.00,    0.00,    0.00,   11.63,    7.28,   58.61,  119.54,   96.82,   83.06,   79.88,    7.57,    0.00,  464.38
17.99851,74.51191,PRECTOT,2013,    0.48,    3.02,    0.77,    7.19,   16.00,  170.45,  201.54,   50.74,  149.86,   47.59,    7.76,    3.78,  659.18
