State_Name,District_Name,Crop_Year,Season,Crop,Area,Rainfall,MaxTemp,Production,Productivity
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Rice,5900,372.8,31.96,7200,1.22
Maharashtra,AKOLA,1997,Kharif     ,Rice,2900,587,32.79,1600,0.55
Maharashtra,AMRAVATI,1997,Kharif     ,Rice,9500,836.3,33.15,5800,0.61
Maharashtra,AURANGABAD,1997,Kharif     ,Rice,1100,751.3,32.86,1200,1.09
Maharashtra,BEED,1997,Kharif     ,Rice,3400,764.1,33.2,1700,0.5
Maharashtra,BHANDARA,1997,Kharif     ,Rice,306900,1065.7,33.5,381500,1.24
Maharashtra,BHANDARA,1997,Summer     ,Rice,128,1065.7,33.5,193,1.51
Maharashtra,BULDHANA,1997,Kharif     ,Rice,700,820.3,32.89,300,0.43
Maharashtra,CHANDRAPUR,1997,Kharif     ,Rice,136400,977.6,33.73,190100,1.39
Maharashtra,CHANDRAPUR,1997,Summer     ,Rice,11,977.6,33.73,13,1.18
Maharashtra,DHULE,1997,Kharif     ,Rice,25300,1354.8,32.33,21200,0.84
Maharashtra,GADCHIROLI,1997,Kharif     ,Rice,135300,922.2,33.96,148300,1.1
Maharashtra,GADCHIROLI,1997,Summer     ,Rice,25,922.2,33.96,29,1.16
Maharashtra,GONDIA,1997,Kharif     ,Rice,14700,694.7,33.96,8900,0.61
Maharashtra,HINGOLI,1997,Kharif     ,Rice,177500,1270.8,33.02,334600,1.89
Maharashtra,JALGAON,1997,Kharif     ,Rice,1700,829.9,33.34,1600,0.94
Maharashtra,JALNA,1997,Kharif     ,Rice,1600,772.2,33.2,800,0.5
Maharashtra,KOLHAPUR,1997,Kharif     ,Rice,1100,2662.4,29.32,246100,223.73
Maharashtra,KOLHAPUR,1997,Summer     ,Rice,3,2662.4,29.32,8,2.67
Maharashtra,LATUR,1997,Kharif     ,Rice,20700,799,33.51,5500,0.27
Maharashtra,NAGPUR,1997,Kharif     ,Rice,29200,982.4,33.52,23700,0.81
Maharashtra,NAGPUR,1997,Summer     ,Rice,2,982.4,33.52,3,1.5
Maharashtra,NANDED,1997,Kharif     ,Rice,25700,824.9,33.14,15100,0.59
Maharashtra,NANDURBAR,1997,Kharif     ,Rice,210,1144,33.46,312,1.49
Maharashtra,NASHIK,1997,Kharif     ,Rice,44600,1547.8,31.87,59600,1.34
Maharashtra,OSMANABAD,1997,Kharif     ,Rice,13900,757.6,33.67,3900,0.28
